x,y,peso_kg,nombre
0,0,0,Deposito
-77.0000,-12.0000,5,Cliente0
-76.9999,-11.9999,5,Cliente1
-76.9998,-11.9998,5,Cliente2
-76.9997,-11.9997,5,Cliente3
-76.9996,-11.9996,5,Cliente4
-76.9995,-11.9995,5,Cliente5
-76.9994,-11.9994,5,Cliente6
-76.9993,-11.9993,5,Cliente7
-76.9992,-11.9992,5,Cliente8
-76.9991,-11.9991,5,Cliente9
-76.9990,-11.9990,5,Cliente10
-76.9989,-11.9989,5,Cliente11
-76.9988,-11.9988,5,Cliente12
-76.9987,-11.9987,5,Cliente13
-76.9986,-11.9986,5,Cliente14
-76.9985,-11.9985,5,Cliente15
-76.9984,-11.9984,5,Cliente16
-76.9983,-11.9983,5,Cliente17
-76.9982,-11.9982,5,Cliente18
-76.9981,-11.9981,5,Cliente19
-76.9980,-11.9980,5,Cliente20
-76.9979,-11.9979,5,Cliente21
-76.9978,-11.9978,5,Cliente22
-76.9977,-11.9977,5,Cliente23
-76.9976,-11.9976,5,Cliente24
-76.9975,-11.9975,5,Cliente25
-76.9974,-11.9974,5,Cliente26
-76.9973,-11.9973,5,Cliente27
-76.9972,-11.9972,5,Cliente28
-76.9971,-11.9971,5,Cliente29
-76.9970,-11.9970,5,Cliente30
-76.9969,-11.9969,5,Cliente31
-76.9968,-11.9968,5,Cliente32
-76.9967,-11.9967,5,Cliente33
-76.9966,-11.9966,5,Cliente34
-76.9965,-11.9965,5,Cliente35
-76.9964,-11.9964,5,Cliente36
-76.9963,-11.9963,5,Cliente37
-76.9962,-11.9962,5,Cliente38
-76.9961,-11.9961,5,Cliente39
-76.9960,-11.9960,5,Cliente40
-76.9959,-11.9959,5,Cliente41
-76.9958,-11.9958,5,Cliente42
-76.9957,-11.9957,5,Cliente43
-76.9956,-11.9956,5,Cliente44
-76.9955,-11.9955,5,Cliente45
-76.9954,-11.9954,5,Cliente46
-76.9953,-11.9953,5,Cliente47
-76.9952,-11.9952,5,Cliente48
-76.9951,-11.9951,5,Cliente49
-76.9950,-11.9950,5,Cliente50
-76.9949,-11.9949,5,Cliente51
-76.9948,-11.9948,5,Cliente52
-76.9947,-11.9947,5,Cliente53
-76.9946,-11.9946,5,Cliente54
-76.9945,-11.9945,5,Cliente55
-76.9944,-11.9944,5,Cliente56
-76.9943,-11.9943,5,Cliente57
-76.9942,-11.9942,5,Cliente58
-76.9941,-11.9941,5,Cliente59
-76.9940,-11.9940,5,Cliente60
-76.9939,-11.9939,5,Cliente61
-76.9938,-11.9938,5,Cliente62
-76.9937,-11.9937,5,Cliente63
-76.9936,-11.9936,5,Cliente64
-76.9935,-11.9935,5,Cliente65
-76.9934,-11.9934,5,Cliente66
-76.9933,-11.9933,5,Cliente67
-76.9932,-11.9932,5,Cliente68
-76.9931,-11.9931,5,Cliente69
-76.9930,-11.9930,5,Cliente70
-76.9929,-11.9929,5,Cliente71
-76.9928,-11.9928,5,Cliente72
-76.9927,-11.9927,5,Cliente73
-76.9926,-11.9926,5,Cliente74
-76.9925,-11.9925,5,Cliente75
-76.9924,-11.9924,5,Cliente76
-76.9923,-11.9923,5,Cliente77
-76.9922,-11.9922,5,Cliente78
-76.9921,-11.9921,5,Cliente79
-76.9920,-11.9920,5,Cliente80
-76.9919,-11.9919,5,Cliente81
-76.9918,-11.9918,5,Cliente82
-76.9917,-11.9917,5,Cliente83
-76.9916,-11.9916,5,Cliente84
-76.9915,-11.9915,5,Cliente85
-76.9914,-11.9914,5,Cliente86
-76.9913,-11.9913,5,Cliente87
-76.9912,-11.9912,5,Cliente88
-76.9911,-11.9911,5,Cliente89
-76.9910,-11.9910,5,Cliente90
-76.9909,-11.9909,5,Cliente91
-76.9908,-11.9908,5,Cliente92
-76.9907,-11.9907,5,Cliente93
-76.9906,-11.9906,5,Cliente94
-76.9905,-11.9905,5,Cliente95
-76.9904,-11.9904,5,Cliente96
-76.9903,-11.9903,5,Cliente97
-76.9902,-11.9902,5,Cliente98
-76.9901,-11.9901,5,Cliente99
-76.9900,-11.9900,5,Cliente100
-76.9899,-11.9899,5,Cliente101
-76.9898,-11.9898,5,Cliente102
-76.9897,-11.9897,5,Cliente103
-76.9896,-11.9896,5,Cliente104
-76.9895,-11.9895,5,Cliente105
-76.9894,-11.9894,5,Cliente106
-76.9893,-11.9893,5,Cliente107
-76.9892,-11.9892,5,Cliente108
-76.9891,-11.9891,5,Cliente109
-76.9890,-11.9890,5,Cliente110
-76.9889,-11.9889,5,Cliente111
-76.9888,-11.9888,5,Cliente112
-76.9887,-11.9887,5,Cliente113
