x,y,peso_kg
-77.03500,-12.04640,0
-76.96122,-12.15144,14
-76.96981,-12.15790,5
-77.03558,-12.02526,5
-76.97472,-12.16982,15
-77.02591,-12.12359,9
-76.99764,-12.09394,3
-77.03564,-12.12729,2
-76.97417,-12.15782,5
-76.91353,-12.02641,12
-76.96628,-12.16224,11
-77.02941,-12.10173,5
-77.05629,-11.94198,3
-77.01338,-12.15212,17
-77.04968,-12.03615,2
-77.10657,-12.05906,3
-76.93416,-12.09202,3
-77.08244,-11.98216,17
-76.99969,-12.14457,3
-77.01774,-12.17358,9
-76.92805,-12.07923,8
-77.12730,-12.05850,5
-77.00156,-11.97810,11
-77.04974,-12.04894,16
-77.02642,-12.15554,9
-77.03626,-12.05051,6
-77.04462,-12.10429,12
-77.04037,-12.04948,9
-77.00202,-12.18374,8
-76.99814,-12.14152,12
-76.94566,-12.08205,11
-77.10893,-12.05412,9
-77.02471,-12.14901,6
-77.12393,-12.04883,11
-77.04452,-11.93320,18
-77.00012,-12.13358,16
-77.03967,-12.08728,5
-77.05314,-12.04853,6
-77.03597,-12.12425,11
-77.00339,-12.14368,9
-77.06703,-11.97541,11
-76.99144,-12.12483,9
-77.08018,-11.98889,2
-77.03483,-12.09177,7
-77.04459,-12.09619,14
-76.98656,-12.12504,7
-77.00038,-12.16609,8
-77.03408,-12.04465,12
-77.12100,-12.06830,3
-77.03105,-12.08546,16
-77.07348,-11.97436,11
