x,y,peso_kg
-77.035,-12.0464,0
-77.01394,-12.01458,2
-76.99725,-12.02269,17
-77.00326,-11.99343,13
-77.02703,-11.97941,4
-77.00877,-11.94732,5
-76.99869,-11.93525,14
-77.0012,-11.99031,8
-76.98123,-12.02512,17
-76.98714,-12.00103,7
-77.0217,-11.97236,15
-76.99834,-11.99277,12
-77.00249,-12.02374,4
-76.99595,-11.98725,14
-77.01428,-11.97143,16
-77.00728,-12.00022,14
-76.99035,-11.96006,4
-77.01754,-11.97223,7
-77.00391,-11.94253,7
-76.99433,-12.00176,6
-76.98187,-12.01812,2
-77.00909,-11.95436,6
-77.02245,-11.9811,16
-76.99174,-11.97269,6
-76.98625,-11.99891,17
-76.9952,-11.97059,13
-77.00131,-11.98458,6
-76.98785,-11.93554,6
-77.00623,-11.96348,2
-76.99765,-11.93032,2
-76.98881,-12.00154,5
-77.0109,-11.96312,18
-77.01002,-11.94317,6
-77.02649,-11.98633,15
-77.00243,-11.9419,8
-76.98899,-11.94354,8
-77.01616,-11.98848,2
-77.01202,-11.94145,10
-76.98214,-12.01493,8
-77.02119,-12.00651,11
-77.0183,-11.98147,18
-77.00051,-12.00384,9
-77.01134,-11.97349,12
-76.98243,-11.96089,10
-77.00423,-11.96825,15
-76.99621,-12.02449,6
-76.98497,-11.95193,3
-76.98642,-11.95012,13
-77.01037,-11.99005,16
-77.02029,-12.01332,18
-77.01301,-12.02474,15
